name,recipient_primary_business_street_address_line1,recipient_city,recipient_state,recipient_zip_code,payment,address,name_geo,phone_geo,formatted_address_geo,latitude_geo,longitude_geo,accuracy_geo,google_place_id_geo,type_geo,postcode_geo,input_string_geo,number_of_results_geo,status_geo
ST. MARYS HOSPITAL,5801 BREMO ROAD,RICHMOND,VA,23226,29942.91,5801 BREMO ROAD RICHMOND VA 23226,None,None,"5801 Bremo Rd, Richmond, VA 23226, USA",37.5842894,-77.5126186,ROOFTOP,ChIJp6JZDWEUsYkROK-r8gJW4Rs,street_address,23226,5801 BREMO ROAD RICHMOND VA 23226,1,OK
BRONSON METHODIST HOSPITAL,601 John St,Kalamazoo,MI,49007,83383.14,601 John St Kalamazoo MI 49007,None,None,"601 John St, Kalamazoo, MI 49007, USA",42.2855115,-85.580433,ROOFTOP,ChIJyUytuBSdF4gRfBLIMDqZu8A,street_address,49007,601 John St Kalamazoo MI 49007,1,OK
SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVE,SAN JOSE,CA,95128,30173.71,751 SOUTH BASCOM AVE SAN JOSE CA 95128,None,None,"751 S Bascom Ave, San Jose, CA 95128, USA",37.3128569,-121.9332672,ROOFTOP,ChIJZxnjozHLj4ARUlwQtUIwk3Y,premise,95128,751 SOUTH BASCOM AVE SAN JOSE CA 95128,1,OK
FRANCISCAN ST. JAMES HEALTH,20201 SOUTH CRAWFORD AVE,Olympia Field,IL,60461,3867.87,20201 SOUTH CRAWFORD AVE Olympia Field IL 60461,None,None,"20201 Crawford Ave, Olympia Fields, IL 60461, USA",41.5232407,-87.710796,ROOFTOP,ChIJe13W2WgXDogR15oLoJUwLXU,premise,60461,20201 SOUTH CRAWFORD AVE Olympia Field IL 60461,1,OK
LDS HOSPITAL,8 Th Avenue and C St,Salt Lake City,UT,84143,17312.25,8 Th Avenue and C St Salt Lake City UT 84143,None,None,"8th Avenue, C St E, Salt Lake City, UT 84143, USA",40.7789254,-111.8794644,GEOMETRIC_CENTER,ChIJ14_kWJ_1UocRb8t5J5dl5yQ,"establishment,health,hospital,point_of_interest",84143,8 Th Avenue and C St Salt Lake City UT 84143,1,OK
HILLCREST HOSPITAL,6780 Mayfield Rd,Mayfield Hts,OH,44124,30516.51,6780 Mayfield Rd Mayfield Hts OH 44124,None,None,"6780 Mayfield Rd, Mayfield Heights, OH 44124, USA",41.51904620000001,-81.43560169999999,ROOFTOP,ChIJX3QCD_4DMYgRKlmUtukslhw,street_address,44124,6780 Mayfield Rd Mayfield Hts OH 44124,1,OK
MIAMI VALLEY HOSPITAL,1 Wyoming St,Dayton,OH,45409,30441.44,1 Wyoming St Dayton OH 45409,None,None,"1 Wyoming St, Dayton, OH 45409, USA",39.7451432,-84.1862548,ROOFTOP,ChIJtzsscaiGQIgR_iGyuEVBFcc,street_address,45409,1 Wyoming St Dayton OH 45409,1,OK
JOHNSON CITY MEDICAL CENTER,403 N State Of Franklin Rd,Johnson City,TN,37604,33512.21,403 N State Of Franklin Rd Johnson City TN 37604,None,None,"403 N State of Franklin Rd, Johnson City, TN 37604, USA",36.3077416,-82.3876464,ROOFTOP,ChIJ2ftop8x8WogRJ1l_xTspAxY,premise,37604,403 N State Of Franklin Rd Johnson City TN 37604,1,OK
METRO NASHVILLE GENERAL HOSPITAL,1818 ALBION STREET,NASHVILLE,TN,37208,2121.08,1818 ALBION STREET NASHVILLE TN 37208,None,None,"1818 Albion St, Nashville, TN 37208, USA",36.166376,-86.8069562,ROOFTOP,ChIJK9dgVttmZIgRZuiyg6TFR88,street_address,37208,1818 ALBION STREET NASHVILLE TN 37208,1,OK
THE KINGSTON HOSPITAL,396 BROADWAY,KINGSTON,NY,12401,4500,396 BROADWAY KINGSTON NY 12401,None,None,"396 Broadway, Kingston, NY 12401, USA",41.926437,-73.99529749999999,ROOFTOP,ChIJK-98JaYP3YkRugtgwZyMr_0,street_address,12401,396 BROADWAY KINGSTON NY 12401,1,OK
ADVOCATE CHRIST HOSPITAL,4440 W 95th St,Oak Lawn,IL,60453,114063.59,4440 W 95th St Oak Lawn IL 60453,None,None,None,None,None,None,None,None,None,4440 W 95th St Oak Lawn IL 60453,0,REQUEST_DENIED
NEW ENGLAND BAPTIST HOSPITAL,125 Parker Hill Ave,Roxbury Crossing,MA,2120,59402.81,125 Parker Hill Ave Roxbury Crossing MA 2120,None,None,"125 Parker Hill Ave, Roxbury, MA 02120, USA",42.3294583,-71.1070259,ROOFTOP,ChIJibiG-IR544kRg-N9WxbWlgs,"establishment,point_of_interest",02120,125 Parker Hill Ave Roxbury Crossing MA 2120,1,OK
DENVER HEALTH MEDICAL CENTER,777 BANNOCK STREET,DENVER,CO,80204,5971398.21,777 BANNOCK STREET DENVER CO 80204,None,None,"777 Bannock St, Denver, CO 80204, USA",39.7282404,-104.9910801,ROOFTOP,ChIJ20dB_iV_bIcR8rCN-R4T1QM,street_address,80204,777 BANNOCK STREET DENVER CO 80204,1,OK
BLESSING HOSPITAL,1005 BROADWAY,QUINCY,IL,62301,21056.32,1005 BROADWAY QUINCY IL 62301,None,None,"1005 Broadway St, Quincy, IL 62301, USA",39.9370375,-91.3995443,ROOFTOP,ChIJiSM9s6733YcR2nBrGjL0WeY,premise,62301,1005 BROADWAY QUINCY IL 62301,1,OK
VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,945215.76,1211 MEDICAL CENTER DRIVE NASHVILLE TN 37232,None,None,"Medical Arts, 1211 Medical Center Dr, Nashville, TN 37232, USA",36.14242460000001,-86.8004397,ROOFTOP,ChIJLX-YXJhmZIgRTg5Dzk6mamk,premise,37232,1211 MEDICAL CENTER DRIVE NASHVILLE TN 37232,1,OK
CARILION NEW RIVER VALLEY MED CENTER,2900 LAMB CIRCLE,CHRISTIANSBURG,VA,24073,11010.81,2900 LAMB CIRCLE CHRISTIANSBURG VA 24073,None,None,"2900 Lamb Cir, Christiansburg, VA 24073, USA",37.08855399999999,-80.5055434,ROOFTOP,ChIJh7tJIoHtTYgRP1r1DPGB9Cw,street_address,24073,2900 LAMB CIRCLE CHRISTIANSBURG VA 24073,1,OK
MERCY REGIONAL MEDICAL CENTER,3700 Kolbe Rd,Lorain,OH,44053,13000,3700 Kolbe Rd Lorain OH 44053,None,None,None,None,None,None,None,None,None,3700 Kolbe Rd Lorain OH 44053,0,REQUEST_DENIED
UCSF MEDICAL CENTER,505 PARNASSUS AVE,SAN FRANCISCO,CA,94143,1132449.31,505 PARNASSUS AVE SAN FRANCISCO CA 94143,None,None,"505 Parnassus Ave, San Francisco, CA 94143, USA",37.7631182,-122.4578207,ROOFTOP,ChIJ1drLYleHhYAR4bMqGakvRDA,street_address,94143,505 PARNASSUS AVE SAN FRANCISCO CA 94143,1,OK
ST. ELIZABETH HOSPITAL,211 S 3RD STREET,BELLEVILLE,IL,62220,328.53,211 S 3RD STREET BELLEVILLE IL 62220,None,None,"211 S 3rd St, Belleville, IL 62220, USA",38.5108609,-89.9891536,ROOFTOP,ChIJiXXPUZcCdogRcmMrd0t6iMY,street_address,62220,211 S 3RD STREET BELLEVILLE IL 62220,1,OK
CLARION HOSPITAL,1 Hospital Dr,Clarion,PA,16214,495,1 Hospital Dr Clarion PA 16214,None,None,"1 Hospital Dr, Clarion, PA 16214, USA",41.1918554,-79.3982901,GEOMETRIC_CENTER,ChIJa0SbXl8zM4gRw1fOHQRGKPo,premise,16214,1 Hospital Dr Clarion PA 16214,1,OK
COLUMBIA ST MARYS HOSPITAL MILWAUKEE,2323 NORTH LAKE DRIVE,MILWAUKEE,WI,53211,7391.76,2323 NORTH LAKE DRIVE MILWAUKEE WI 53211,None,None,"2323 N Lake Dr, Milwaukee, WI 53211, USA",43.0617525,-87.87982889999999,ROOFTOP,ChIJd_ym4MMYBYgRG42i7KnN2E8,premise,53211,2323 NORTH LAKE DRIVE MILWAUKEE WI 53211,1,OK
ST ANTHONY HOSPITAL,1000 NORTH LEE,OKLAHOMA CITY,OK,73101,17367.33,1000 NORTH LEE OKLAHOMA CITY OK 73101,None,None,"1000 N Lee Ave, Oklahoma City, OK 73102, USA",35.4767215,-97.52428429999999,RANGE_INTERPOLATED,EiwxMDAwIE4gTGVlIEF2ZSwgT2tsYWhvbWEgQ2l0eSwgT0sgNzMxMDIsIFVTQSIbEhkKFAoSCd0SoTEzF7KHEX8a8ylEl8e5EOgH,street_address,73102,1000 NORTH LEE OKLAHOMA CITY OK 73101,1,OK
ST. MARYS MEDICAL CENTER,407 E 3rd St,Duluth,MN,55805,13.75,407 E 3rd St Duluth MN 55805,None,None,"407 E 3rd St, Duluth, MN 55805, USA",46.79327319999999,-92.0966385,ROOFTOP,ChIJTeVMvbhSrlIRM0UQnkYB-1g,premise,55805,407 E 3rd St Duluth MN 55805,1,OK
North Shore University Hospital,300 Community Drive,Manhasset,NY,10030,159674.21,300 Community Drive Manhasset NY 10030,None,None,"300 Community Dr, Manhasset, NY 11030, USA",40.7741973,-73.7006222,ROOFTOP,ChIJkVfHWrWJwokRnGwmj3B8gjs,street_address,11030,300 Community Drive Manhasset NY 10030,1,OK
ST. LUKES HOSPITAL OF KANSAS CITY,4401 WORNALL ROAD,KANSAS CITY,MO,64111,286631.64,4401 WORNALL ROAD KANSAS CITY MO 64111,None,None,"4401 Wornall Rd, Kansas City, MO 64111, USA",39.0474343,-94.59078989999999,ROOFTOP,ChIJn77cksbvwIcR-hfNODx5Szs,street_address,64111,4401 WORNALL ROAD KANSAS CITY MO 64111,1,OK
PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVE SW,BIRMINGHAM,AL,35211,10138.75,701 PRINCETON AVE SW BIRMINGHAM AL 35211,None,None,"701 Princeton Ave SW, Birmingham, AL 35211, USA",33.4979448,-86.8473661,ROOFTOP,ChIJH6AmoCQciYgRSdsCvZUDkco,premise,35211,701 PRINCETON AVE SW BIRMINGHAM AL 35211,1,OK
ST. JOSEPHS HOSPITAL & MEDICAL CTR,703 Main St,Paterson,NJ,7503,328385.17,703 Main St Paterson NJ 7503,None,None,"703 Main St, Paterson, NJ 07503, USA",40.9022582,-74.1661378,ROOFTOP,ChIJD001yiv8wokRj3W3_1Yfxe8,street_address,07503,703 Main St Paterson NJ 7503,1,OK
JACOBI MEDICAL CENTER,1400 PELHAM PKWY S,BRONX,NY,10461,17723.38,1400 PELHAM PKWY S BRONX NY 10461,None,None,"1400 Pelham Pkwy S, The Bronx, NY 10461, USA",40.8556769,-73.8462363,ROOFTOP,ChIJNaMuKVTzwokRfDxfyMl9iw0,street_address,10461,1400 PELHAM PKWY S BRONX NY 10461,1,OK
MEMORIAL HERMANN HOSPITAL SYS,1635 NORTH LOOP WEST,HOUSTON,TX,77008,105217.82,1635 NORTH LOOP WEST HOUSTON TX 77008,None,None,"1635 N Loop W, Houston, TX 77008, USA",29.8115414,-95.430426,ROOFTOP,ChIJOemDkQbHQIYR7tGpeH-2ze0,street_address,77008,1635 NORTH LOOP WEST HOUSTON TX 77008,1,OK
OHIO STATE UNIVERSITY JAMES CANCER H,300 W 10th Ave,Columbus,OH,43210,1594.04,300 W 10th Ave Columbus OH 43210,None,None,"Hamilton Hall, 300 W 10th Ave, Columbus, OH 43210, USA",39.995053,-83.0150304,ROOFTOP,ChIJwz5RmOqOOIgRkmjgte2Z0QU,premise,43210,300 W 10th Ave Columbus OH 43210,1,OK
THE REHAB. INSTITUTE OF CHICAGO,345 E Superior St,Chicago,IL,60611,32095,345 E Superior St Chicago IL 60611,None,None,"345 E Superior St, Chicago, IL 60611, USA",41.89557780000001,-87.6184015,ROOFTOP,ChIJJyLNrqrUD4gRiJRwCfRcg3s,premise,60611,345 E Superior St Chicago IL 60611,1,OK
CAPE COD HOSPITAL,27 Park St,Hyannis,MA,2601,21775.42,27 Park St Hyannis MA 2601,None,None,"27 Park St, Hyannis, MA 02601, USA",41.6535048,-70.2730138,ROOFTOP,ChIJiS7rTu4w-4kR-bSczZM4zG4,premise,02601,27 Park St Hyannis MA 2601,1,OK
CRITTENDEN REGIONAL HOSPITAL,200 Tyler Street,West Memphis,AR,72303,311.54,200 Tyler Street West Memphis AR 72303,None,None,"200 W Tyler Ave, West Memphis, AR 72301, USA",35.1441556,-90.18829219999999,ROOFTOP,ChIJNywcOd921YcRtUqXJsCBVzg,street_address,72301,200 Tyler Street West Memphis AR 72303,1,OK
FLORIDA HOSPITAL,601 E Rollins St,ORLANDO,FL,32803,2800470.04,601 E Rollins St ORLANDO FL 32803,None,None,"601 E Rollins St, Orlando, FL 32803, USA",28.5751748,-81.3702095,ROOFTOP,ChIJUbvOtZt654gRZ6YDEuJqHKc,street_address,32803,601 E Rollins St ORLANDO FL 32803,1,OK
ST MARY CORWIN MEDICAL CENTER,1008 MINNEQUA AVENUE,PUEBLO,CO,81004,1329.6,1008 MINNEQUA AVENUE PUEBLO CO 81004,None,None,"1008 Minnequa Ave, Pueblo, CO 81004, USA",38.233881,-104.623987,ROOFTOP,ChIJAYqIq9KiE4cRCCJNoPkbKIM,premise,81004,1008 MINNEQUA AVENUE PUEBLO CO 81004,1,OK
Rady Childrens Hospital- San Diego,3020 Childrens Way,San Diego,CA,92123,275037.09,3020 Childrens Way San Diego CA 92123,None,None,"3020 Children's Way, San Diego, CA 92123, USA",32.7977575,-117.151407,ROOFTOP,ChIJdYWyyl9V2YAROYDSq9CovIw,"establishment,health,hospital,point_of_interest,premise",92123,3020 Childrens Way San Diego CA 92123,1,OK
MERCY CATHOLIC MEDICAL CENTER,1500 Lansdowne Ave,Darby,PA,19023,23987.03,1500 Lansdowne Ave Darby PA 19023,None,None,"1500 Lansdowne Ave, Darby, PA 19023, USA",39.9266094,-75.26936789999999,ROOFTOP,ChIJocixKOfDxokRXww9D6yfX3w,street_address,19023,1500 Lansdowne Ave Darby PA 19023,1,OK
HALIFAX MEDICAL CENTER,303 N Clyde Morris Blvd,Daytona Beach,FL,32114,31132.68,303 N Clyde Morris Blvd Daytona Beach FL 32114,None,None,"303 N Clyde Morris Blvd, Daytona Beach, FL 32114, USA",29.2001684,-81.05425679999999,ROOFTOP,ChIJFVCez1zZ5ogR860HHHvcGl0,street_address,32114,303 N Clyde Morris Blvd Daytona Beach FL 32114,1,OK
HOLY CROSS HOSPITAL,1500 Forest Glen Road,Silver Spring,MD,20904,57338.62,1500 Forest Glen Road Silver Spring MD 20904,None,None,"1500 Forest Glen Rd, Silver Spring, MD 20910, USA",39.0147079,-77.0347487,ROOFTOP,ChIJk39TaTbPt4kR2Sn6aH75F1M,street_address,20910,1500 Forest Glen Road Silver Spring MD 20904,1,OK
WYCKOFF HEIGHTS MEDICAL CENTER,374 Stockholm Street,Brooklyn,NY,11237,109828.99,374 Stockholm Street Brooklyn NY 11237,None,None,"374 Stockholm St, Brooklyn, NY 11237, USA",40.704082,-73.9177493,ROOFTOP,ChIJjbBDex5cwokRnohp7wL-Kog,premise,11237,374 Stockholm Street Brooklyn NY 11237,1,OK
SINAI-GRACE HOSPITAL,6071 W Outer Dr,Detroit,MI,48235,52001.4,6071 W Outer Dr Detroit MI 48235,None,None,"6071 W Outer Dr, Detroit, MI 48235, USA",42.4346515,-83.1750922,RANGE_INTERPOLATED,Eic2MDcxIFcgT3V0ZXIgRHIsIERldHJvaXQsIE1JIDQ4MjM1LCBVU0EiGxIZChQKEglFeY6dWskkiBHejEH6kem3QhC3Lw,street_address,48235,6071 W Outer Dr Detroit MI 48235,1,OK
ST. LUKES HOSPITAL,232 S WOODS MILL RD,CHESTERFIELD,MO,63017,40284.88,232 S WOODS MILL RD CHESTERFIELD MO 63017,None,None,"232 S Woods Mill Rd, Chesterfield, MO 63017, USA",38.6522289,-90.5028713,ROOFTOP,ChIJMUukjMos34cRnQO47v_VUw8,street_address,63017,232 S WOODS MILL RD CHESTERFIELD MO 63017,1,OK
DETROIT RECEIVING HOSPITAL,4201 Saint Antoine St,Detroit,MI,48201,12904.69,4201 Saint Antoine St Detroit MI 48201,None,None,"University Health Center, 4201 St Antoine, Detroit, MI 48201, USA",42.3535426,-83.055094,ROOFTOP,ChIJGcXBBcfSJIgRueJazumeg6s,premise,48201,4201 Saint Antoine St Detroit MI 48201,1,OK
SUMMA HEALTH SYSTEM,3730 Whipple Ave NW,Canton,OH,44718,8906.37,3730 Whipple Ave NW Canton OH 44718,None,None,"3730 Whipple Ave NW, Canton, OH 44718, USA",40.8412842,-81.4232439,ROOFTOP,ChIJ11haCCrRNogRwkv45-BwjBU,premise,44718,3730 Whipple Ave NW Canton OH 44718,1,OK
GEORGE WASHINGTON UNIV HOSPITAL,900 23RD STREET,WASHINGTON,DC,20037,108057.58,900 23RD STREET WASHINGTON DC 20037,None,None,"900 23rd St NW, Washington, DC 20037, USA",38.901261,-77.05074119999999,ROOFTOP,ChIJnZBe37O3t4kRSgxEhmwzLd0,premise,20037,900 23RD STREET WASHINGTON DC 20037,1,OK
JFK MEDICAL CENTER,65 James St,Edison,NJ,8820,78328.5,65 James St Edison NJ 8820,None,None,"65 James St, Edison, NJ 08820, USA",40.55633479999999,-74.3504495,ROOFTOP,ChIJ20GyV062w4kR9FGwBZDahOQ,street_address,08820,65 James St Edison NJ 8820,1,OK
The Miriam Hospital,164 Summit Ave,Providence,RI,2906,13278.96,164 Summit Ave Providence RI 2906,None,None,"164 Summit Ave, Providence, RI 02906, USA",41.851722,-71.398257,ROOFTOP,ChIJf-Jhk8ZE5IkRkMHLA05R6kE,street_address,02906,164 Summit Ave Providence RI 2906,1,OK
KFH - OC-ANAHEIM,3440 E. La Palma Ave,Anaheim,CA,92806,42928,3440 E. La Palma Ave Anaheim CA 92806,None,None,"3440 E La Palma Ave, Anaheim, CA 92806, USA",33.8520823,-117.8441325,ROOFTOP,ChIJZ3es6MXW3IAR0jnTe7aqItg,street_address,92806,3440 E. La Palma Ave Anaheim CA 92806,1,OK
MOUNTAIN VIEW HOSPITAL,3100 N Tenaya Way,Las Vegas,NV,89128,2383.29,3100 N Tenaya Way Las Vegas NV 89128,None,None,None,None,None,None,None,None,None,3100 N Tenaya Way Las Vegas NV 89128,0,REQUEST_DENIED
HAZARD ARH,100 MEDICAL CENTER DR,HAZARD,KY,41701,806023.26,100 MEDICAL CENTER DR HAZARD KY 41701,None,None,"100 Medical Center Dr, Hazard, KY 41701, USA",37.2781545,-83.2283495,ROOFTOP,ChIJgU3iOd7HRIgRU8xLPZ8iP7Y,premise,41701,100 MEDICAL CENTER DR HAZARD KY 41701,1,OK
ARIA HEALTH,10800 Knights Rd,Philadelphia,PA,19114,8155.52,10800 Knights Rd Philadelphia PA 19114,None,None,"10800 Knights Rd, Philadelphia, PA 19114, USA",40.0716695,-74.9832205,ROOFTOP,ChIJh4iZmUazxokRCLtHVqVqBlk,street_address,19114,10800 Knights Rd Philadelphia PA 19114,1,OK
IOWA METHODIST MEDICAL CENTER,1200 Pleasant St,Des Moines,IA,50309,74246.02,1200 Pleasant St Des Moines IA 50309,None,None,"1200 Pleasant St, Des Moines, IA 50309, USA",41.589149,-93.63382469999999,ROOFTOP,ChIJbUWrYxuZ7ocRs-29ppt6a0g,street_address,50309,1200 Pleasant St Des Moines IA 50309,1,OK
SACRED HEART HOSPITAL,421 CHEW STREET,ALLENTOWN,PA,18102,128109.69,421 CHEW STREET ALLENTOWN PA 18102,None,None,None,None,None,None,None,None,None,421 CHEW STREET ALLENTOWN PA 18102,0,REQUEST_DENIED
PONTIAC GENERAL HOSPITAL,461 West Huron Street,Pontiac,MI,48341,876.74,461 West Huron Street Pontiac MI 48341,None,None,"461 W Huron St, Pontiac, MI 48341, USA",42.635104,-83.3092456,ROOFTOP,ChIJpbmp8Fu-JIgRZX1tQoqjxRA,street_address,48341,461 West Huron Street Pontiac MI 48341,1,OK
DECATUR MEMORIAL HOSPITAL,2300 N. EDWARD ST.,DECATUR,IL,62526,6396.17,2300 N. EDWARD ST. DECATUR IL 62526,None,None,"2300 N Edward St, Decatur, IL 62526, USA",39.8668512,-88.9618217,ROOFTOP,ChIJZWD1jrixdIgRemoNhkxoABM,street_address,62526,2300 N. EDWARD ST. DECATUR IL 62526,1,OK
ST ANTHONY NORTH HEALTH CAMPUS,2551 W 84TH AVE,WESTMINSTER,CO,80031,500,2551 W 84TH AVE WESTMINSTER CO 80031,None,None,"2551 W 84th Ave, Westminster, CO 80031, USA",39.8500613,-105.0183018,ROOFTOP,ChIJKbqu1813bIcRRQ7kd_nwOCw,premise,80031,2551 W 84TH AVE WESTMINSTER CO 80031,1,OK
FAXTON-ST. LUKES HEALTHCARE,1656 Champlin Ave,Utica,NY,13502,40937.97,1656 Champlin Ave Utica NY 13502,None,None,"1656 Champlin Ave, New Hartford, NY 13413, USA",43.0965919,-75.27616069999999,ROOFTOP,ChIJQwUQahlB2YkRQ_1kFp9YpgI,premise,13413,1656 Champlin Ave Utica NY 13502,1,OK
CHILDRENS HOSPITAL OF ORANGE COUNT,1201 W. LA VETA AVENUE,ORANGE,CA,92868,294852.83,1201 W. LA VETA AVENUE ORANGE CA 92868,None,None,"1201 W La Veta Ave, Orange, CA 92868, USA",33.7804929,-117.8662537,ROOFTOP,ChIJX41OT8XZ3IARdUZsqEPSmog,street_address,92868,1201 W. LA VETA AVENUE ORANGE CA 92868,1,OK
SAINT FRANCIS MEMORIAL HOSPITAL,900 Hyde St,San Francisco,CA,94109,11970.13,900 Hyde St San Francisco CA 94109,None,None,"900 Hyde St, San Francisco, CA 94109, USA",37.7893799,-122.4167294,ROOFTOP,ChIJbfwBCpOAhYAREOrvEq01W_U,premise,94109,900 Hyde St San Francisco CA 94109,1,OK
UNIVERSITY HEALTH SERVICES  INC.,1350 Walton Way,Augusta,GA,30901,76654.25,1350 Walton Way Augusta GA 30901,None,None,"1350 Walton Way, Augusta, GA 30901, USA",33.4711803,-81.9830535,ROOFTOP,ChIJ12oigEfM-YgRuOVNfKZvIlw,premise,30901,1350 Walton Way Augusta GA 30901,1,OK
United Hospital Center,327 Medical Park Drive,Bridgeport,WV,26330,18159.39,327 Medical Park Drive Bridgeport WV 26330,None,None,"327 Medical Park Dr, Bridgeport, WV 26330, USA",39.328546,-80.23957899999999,ROOFTOP,ChIJKxpOxNZlSogRmFvSKXvdf84,street_address,26330,327 Medical Park Drive Bridgeport WV 26330,1,OK
HUNTINGTON HOSPITAL,270 Park Ave,Huntington,NY,11743,19574.19,270 Park Ave Huntington NY 11743,None,None,"270 Park Ave, Huntington, NY 11743, USA",40.87933049999999,-73.415944,ROOFTOP,ChIJxd7IaC0m6IkR4wVKjDtMo8k,street_address,11743,270 Park Ave Huntington NY 11743,1,OK
COMMUNITY HOSPITAL OF INDIANA INC.,1500 NORTH RITTER AVENUE,INDIANAPOLIS,IN,46219,24359.99,1500 NORTH RITTER AVENUE INDIANAPOLIS IN 46219,None,None,"1500 N Ritter Ave, Indianapolis, IN 46219, USA",39.7868112,-86.07490489999999,ROOFTOP,ChIJqxiK6BlPa4gRtPecxZoitL8,street_address,46219,1500 NORTH RITTER AVENUE INDIANAPOLIS IN 46219,1,OK
STEWARD ST. ANNES HOSPITAL,795 Middle St,Fall River,MA,2721,1045.31,795 Middle St Fall River MA 2721,None,None,"795 Middle St, Fall River, MA 02721, USA",41.6929483,-71.16332539999999,ROOFTOP,ChIJ7wMDcsb45IkR9GxPlrjbnwA,premise,02721,795 Middle St Fall River MA 2721,1,OK
CARILION MEDICAL CENTER,2001 Crystal Spring Ave SW Ste 202,Roanoke,VA,24014,352878.36,2001 Crystal Spring Ave SW Ste 202 Roanoke VA 24014,None,None,"Carilion Medical Building - Crystal Spring, 2001 Crystal Spring Ave SW #202, Roanoke, VA 24014, USA",37.2504091,-79.9461137,ROOFTOP,EmNDYXJpbGlvbiBNZWRpY2FsIEJ1aWxkaW5nIC0gQ3J5c3RhbCBTcHJpbmcsIDIwMDEgQ3J5c3RhbCBTcHJpbmcgQXZlIFNXICMyMDIsIFJvYW5va2UsIFZBIDI0MDE0LCBVU0EiHxodChYKFAoSCe29EcsLDU2IEWszTmqzCLPcEgMyMDI,subpremise,24014,2001 Crystal Spring Ave SW Ste 202 Roanoke VA 24014,1,OK
SAINT THOMAS MIDTOWN HOSPITAL,2000 Church St,Nashville,TN,37236,139604.73,2000 Church St Nashville TN 37236,None,None,"2000 Church St, Nashville, TN 37236, USA",36.1538738,-86.8024551,ROOFTOP,ChIJH5Ln3L9mZIgRaX_Ac6lUGYk,street_address,37236,2000 Church St Nashville TN 37236,1,OK
BAYLOR INSTITUTE FOR REHABILITATION,909 N Washington Ave,Dallas,TX,76132,2883.95,909 N Washington Ave Dallas TX 76132,None,None,"909 N Washington Ave, Dallas, TX 75246, USA",32.7915577,-96.7803132,ROOFTOP,ChIJUTBT1sSYToYRtacTCUaaza8,"establishment,health,point_of_interest",75246,909 N Washington Ave Dallas TX 76132,1,OK
RENOWN REGIONAL MEDICAL CENTER,1155 Mill Street,Reno,NV,89502,6935.22,1155 Mill Street Reno NV 89502,None,None,"1155 Mill St, Reno, NV 89502, USA",39.52552,-119.7952114,ROOFTOP,ChIJoZyMTKlAmYARX1zvOGng2Xo,street_address,89502,1155 Mill Street Reno NV 89502,1,OK
ABBOTT NORTHWESTERN HOSPITAL,"2800 10TH AVE S, SUITE 1000",Minneapolis,MN,55407,94072.13,"2800 10TH AVE S, SUITE 1000 Minneapolis MN 55407",None,None,"2800 10th Ave S #1000, Minneapolis, MN 55407, USA",44.9513882,-93.26103429999999,ROOFTOP,EjEyODAwIDEwdGggQXZlIFMgIzEwMDAsIE1pbm5lYXBvbGlzLCBNTiA1NTQwNywgVVNBIiAaHgoWChQKEgnThirj_if2hxGZQz_mGUPvIhIEMTAwMA,subpremise,55407,"2800 10TH AVE S, SUITE 1000 Minneapolis MN 55407",1,OK
Presence Saint Francis Hospital,355 Ridge Ave,Evanston,IL,60202,1173.35,355 Ridge Ave Evanston IL 60202,None,None,"355 Ridge Ave, Evanston, IL 60202, USA",42.0246449,-87.6839608,ROOFTOP,ChIJYanz8zDQD4gRpUV3U5HpoSc,street_address,60202,355 Ridge Ave Evanston IL 60202,1,OK
BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVENUE,MUNCIE,IN,47303,7707.24,2401 UNIVERSITY AVENUE MUNCIE IN 47303,None,None,"2401 W University Ave, Muncie, IN 47303, USA",40.197283,-85.414193,ROOFTOP,ChIJjatB3hQ9FYgRWs8jhUNIUtc,street_address,47303,2401 UNIVERSITY AVENUE MUNCIE IN 47303,1,OK
HOUSTON NORTHWEST MEDICAL CENTER,710 Cypress Creek Pkwy,HOUSTON,TX,77090,19216.37,710 Cypress Creek Pkwy HOUSTON TX 77090,None,None,"710 Cypress Creek Pkwy, Houston, TX 77090, USA",30.0204601,-95.4425602,ROOFTOP,ChIJYZ0gHhnLQIYRGsd_NoyPMOY,premise,77090,710 Cypress Creek Pkwy HOUSTON TX 77090,1,OK
ST BERNARDS MEDICAL CENTER,225 E Jackson Ave,Jonesboro,AR,72401,15536.82,225 E Jackson Ave Jonesboro AR 72401,None,None,"225 E Jackson Ave, Jonesboro, AR 72401, USA",35.8366503,-90.7026009,ROOFTOP,ChIJn6MsnDAp1IcR0kjamCCJ-TM,street_address,72401,225 E Jackson Ave Jonesboro AR 72401,1,OK
MERCY MEDICAL CENTER-DES MOINES,1111 6th Ave,DES MOINES,IA,50314,32912.85,1111 6th Ave DES MOINES IA 50314,None,None,"1111 6th Ave, Des Moines, IA 50314, USA",41.5986713,-93.6228884,ROOFTOP,ChIJ71oIBgqZ7ocR0U3kELrkthw,premise,50314,1111 6th Ave DES MOINES IA 50314,1,OK
